policy_id,termination_cause,episode_count
context_only_without_memory,hard_failure,166
context_only_without_memory,no_viable_primitive,78
context_only_without_memory,terminal_useful,56
context_plus_memory_lambda_0_5,hard_failure,166
context_plus_memory_lambda_0_5,no_viable_primitive,78
context_plus_memory_lambda_0_5,terminal_useful,56
context_plus_memory_lambda_0_8,hard_failure,166
context_plus_memory_lambda_0_8,no_viable_primitive,78
context_plus_memory_lambda_0_8,terminal_useful,56
context_plus_memory_lambda_0_95,hard_failure,166
context_plus_memory_lambda_0_95,no_viable_primitive,78
context_plus_memory_lambda_0_95,terminal_useful,56
no_memory_baseline,hard_failure,166
no_memory_baseline,no_viable_primitive,78
no_memory_baseline,terminal_useful,56
static_map_baseline,hard_failure,166
static_map_baseline,no_viable_primitive,78
static_map_baseline,terminal_useful,56
