episode_id,primitive_step_index,policy_id,context_id,W_layer,environment_mode,start_state_family,governor_mode,governor_config_id,governor_belief_weight,governor_maximum_hard_failure_risk,candidate_count,viable_count,decision_status,selected_compact_library_id,selected_primitive_variant_id,selected_primitive_id,selected_controller_id,selected_score,claim_status,paired_episode_index,replicate_id,common_random_key
v49_r006_no_memory_baseline_p00000_rep00,0,no_memory_baseline,v49_r006_no_memory_baseline_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_static_map_baseline_p00000_rep00,0,static_map_baseline,v49_r006_static_map_baseline_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_context_only_without_memory_p00000_rep00,0,context_only_without_memory,v49_r006_context_only_without_memory_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_context_plus_memory_lambda_0_5_p00000_rep00,0,context_plus_memory_lambda_0_5,v49_r006_context_plus_memory_lambda_0_5_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_context_plus_memory_lambda_0_8_p00000_rep00,0,context_plus_memory_lambda_0_8,v49_r006_context_plus_memory_lambda_0_8_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_context_plus_memory_lambda_0_95_p00000_rep00,0,context_plus_memory_lambda_0_95,v49_r006_context_plus_memory_lambda_0_95_p00000_rep00_ctx00,W2,annular_gp_four,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,58,0,blocked_no_viable_representative,,,,,-inf,simulation_only_selector_decision,0,0,v410_run006_seed04106_r00_e00000
v49_r006_no_memory_baseline_p00001_rep00,0,no_memory_baseline,v49_r006_no_memory_baseline_p00001_rep00_ctx00,W3,w3_randomised_single,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,29,4,selected_compact_representative,postw3lib_a6629043b6f6,primvar_glide_launch_capable_ae800d158abe,glide,lqrta_glide_3b5087a1988e,-0.30635253271546076,simulation_only_selector_decision,1,0,v410_run006_seed04106_r00_e00001
v49_r006_static_map_baseline_p00001_rep00,0,static_map_baseline,v49_r006_static_map_baseline_p00001_rep00_ctx00,W3,w3_randomised_single,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,29,4,selected_compact_representative,postw3lib_a6629043b6f6,primvar_glide_launch_capable_ae800d158abe,glide,lqrta_glide_3b5087a1988e,-0.3019604409024198,simulation_only_selector_decision,1,0,v410_run006_seed04106_r00_e00001
v49_r006_context_only_without_memory_p00001_rep00,0,context_only_without_memory,v49_r006_context_only_without_memory_p00001_rep00_ctx00,W3,w3_randomised_single,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,29,4,selected_compact_representative,postw3lib_a6629043b6f6,primvar_glide_launch_capable_ae800d158abe,glide,lqrta_glide_3b5087a1988e,-0.30635253271546076,simulation_only_selector_decision,1,0,v410_run006_seed04106_r00_e00001
v49_r006_context_plus_memory_lambda_0_5_p00001_rep00,0,context_plus_memory_lambda_0_5,v49_r006_context_plus_memory_lambda_0_5_p00001_rep00_ctx00,W3,w3_randomised_single,launch_gate,continuation_mode,v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.75,29,4,selected_compact_representative,postw3lib_a6629043b6f6,primvar_glide_launch_capable_ae800d158abe,glide,lqrta_glide_3b5087a1988e,-0.3041338092667867,simulation_only_selector_decision,1,0,v410_run006_seed04106_r00_e00001
