outer_case_index,outer_case_id,outer_case_type,environment_block_id,environment_block_local_index,environment_block_label,environment_change_family,W_layer,environment_mode,fan_layout_policy,scheduled_fan_layout_count,scheduled_active_fan_count,active_fan_count_policy,fan_position_policy,fan_position_xy_bounds_m,fan_position_safety_radius_m,launch_state_seed,environment_seed,plant_implementation_seed,between_episode_environment_variation,plant_implementation_variation_scope,common_final_launch_key,start_state_family,launch_sequence_policy,claim_status,episode_id,episode_index,launch_role,library_size_case_id,policy_id,history_length,adaptation_launch_index
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_no_memory_baseline_final_0000,0,final_heldout,heavy_cluster,no_memory_baseline,0,0
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_no_memory_baseline_final_0001,1,final_heldout,heavy_cluster,no_memory_baseline,0,0
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_no_memory_baseline_final_0002,2,final_heldout,heavy_cluster,no_memory_baseline,0,0
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h3_final_0000,3,final_heldout,heavy_cluster,directional_3d_residual_memory_h3,3,3
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h3_final_0001,4,final_heldout,heavy_cluster,directional_3d_residual_memory_h3,3,3
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h3_final_0002,5,final_heldout,heavy_cluster,directional_3d_residual_memory_h3,3,3
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_final_0000,6,final_heldout,heavy_cluster,directional_3d_residual_memory_h10,10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_final_0001,7,final_heldout,heavy_cluster,directional_3d_residual_memory_h10,10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_final_0002,8,final_heldout,heavy_cluster,directional_3d_residual_memory_h10,10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h30_final_0000,9,final_heldout,heavy_cluster,directional_3d_residual_memory_h30,30,30
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h30_final_0001,10,final_heldout,heavy_cluster,directional_3d_residual_memory_h30,30,30
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h30_final_0002,11,final_heldout,heavy_cluster,directional_3d_residual_memory_h30,30,30
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_no_memory_baseline_final_0000,12,final_heldout,balanced_cluster,no_memory_baseline,0,0
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_no_memory_baseline_final_0001,13,final_heldout,balanced_cluster,no_memory_baseline,0,0
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_no_memory_baseline_final_0002,14,final_heldout,balanced_cluster,no_memory_baseline,0,0
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h3_final_0000,15,final_heldout,balanced_cluster,directional_3d_residual_memory_h3,3,3
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h3_final_0001,16,final_heldout,balanced_cluster,directional_3d_residual_memory_h3,3,3
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h3_final_0002,17,final_heldout,balanced_cluster,directional_3d_residual_memory_h3,3,3
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000011,18000017,27000023,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h10_final_0000,18,final_heldout,balanced_cluster,directional_3d_residual_memory_h10,10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000048,18000058,27000066,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h10_final_0001,19,final_heldout,balanced_cluster,directional_3d_residual_memory_h10,10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,,9000085,18000099,27000109,True,fixed_nominal_or_deterministic_for_block,r9_fixed_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_balanced_cluster_directional_3d_residual_memory_h10_final_0002,20,final_heldout,balanced_cluster,directional_3d_residual_memory_h10,10,10
