r_m,w_mps,n,alpha,sigma_mps
0.0,0.9875,4,0.28867513459481287,0.21356602819989118
0.3,2.0031250000000003,16,0.5773502691896257,0.21356602819989118
0.6,1.7535,16,0.5773502691896257,0.21356602819989118
0.8999999999999999,0.9349583333333333,48,1.0,0.21356602819989115
1.2,0.514025,40,0.9128709291752769,0.2027513849284044
1.5,0.377625,16,0.5773502691896257,0.18882733416482048
1.7999999999999998,0.21660000000000004,15,0.5590169943749475,0.1645703493043976
2.1,0.11992857142857145,14,0.5400617248673217,0.22861421629246556
2.4,0.0,0,0.0,0.22861421629246556
2.6999999999999997,0.0,0,0.0,0.18228001990704168
3.0,0.23335,20,0.6454972243679028,0.18228001990704168
3.3,0.128,6,0.3535533905932738,0.17117148842782062
