r_m,w_mps,n,alpha,sigma_mps
0.0,1.39425,4,0.28867513459481287,0.17692792796014128
0.3,1.5091875000000001,16,0.5773502691896257,0.17692792796014126
0.6,1.2399375,16,0.5773502691896257,0.17692792796014126
0.8999999999999999,0.7375416666666667,48,1.0,0.1769279279601413
1.2,0.4208,40,0.9128709291752769,0.15591325335989353
1.5,0.34825,16,0.5773502691896257,0.16919732377239904
1.7999999999999998,0.22366666666666665,15,0.5590169943749475,0.17140499251583172
2.1,0.07757142857142856,14,0.5400617248673217,0.19275218536914368
2.4,0.0,0,0.0,0.19275218536914368
2.6999999999999997,0.0,0,0.0,0.19656238148059565
3.0,0.19949999999999998,20,0.6454972243679028,0.19656238148059565
3.3,0.149,6,0.3535533905932738,0.18579457388594336
