stage_id,library_size_case_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,launch_capable_primitive_family_count,launch_capture_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_launch_capture_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_capture_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_boundary_near,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,0,3748,1052,0,0,0,3748,1052,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,0,3752,1048,0,0,0,3752,1048,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1275,1673,652,0,0,2948,0,652,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1272,1656,672,0,0,2928,0,672,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1271,1654,675,0,0,2925,0,675,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1269,1669,662,0,0,2938,0,662,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1278,1657,665,0,0,2935,0,665,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1288,1660,652,0,0,2948,0,652,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1827,3229,944,0,0,5056,0,944,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1843,3217,940,0,0,5060,0,940,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1830,3223,947,0,0,5053,0,947,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1834,3230,936,0,0,5064,0,936,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1826,3230,944,0,0,5056,0,944,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1837,3222,941,0,0,5059,0,941,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,1434,1389,1977,0,0,2823,0,1977,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,1424,1395,1981,0,0,2819,0,1981,True,False,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_energy_build,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3822,1141,4637,0,0,4963,0,4637,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_glide_stabilise,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3821,1141,4638,0,0,4962,0,4638,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_lift_seek,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3823,1137,4640,0,0,4960,0,4640,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_safe_handoff,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3821,1143,4636,0,0,4964,0,4636,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_shallow_left,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3819,1139,4642,0,0,4958,0,4642,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_shallow_right,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3815,1147,4638,0,0,4962,0,4638,True,True,not_applicable_w01
