timestamp_utc,stage_id,check_id,passed,observed,required
2026-06-06T07:11:03.327635+00:00,R5,stage_status_not_diagnostic,True,complete,complete
2026-06-06T07:11:03.327635+00:00,R5,method_evidence_level_w01_dense,True,w01_dense_evidence_complete,w01_dense_evidence_complete
2026-06-06T07:11:03.327635+00:00,R5,w01_dense_evidence_complete_true,True,True,True
2026-06-06T07:11:03.327635+00:00,R5,actual_row_count_active_dense_target,True,102400,102400
2026-06-06T07:11:03.327635+00:00,R5,candidate_count_32,True,32,32
2026-06-06T07:11:03.327635+00:00,R5,paired_tests_per_candidate_50,True,50,50
2026-06-06T07:11:03.327635+00:00,R5,active_primitive_count_8,True,8,8
2026-06-06T07:11:03.327635+00:00,R5,retired_launch_capture_not_active,True,False,False
2026-06-06T07:11:03.327635+00:00,R5,r5_launch_aware_decision_passed_for_review,True,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW
2026-06-06T07:11:03.341223+00:00,R5,launch_gate_candidate_availability_audit,True,audit,passed
2026-06-06T07:11:03.341223+00:00,R5,w3_replay_only,True,True,True
2026-06-06T07:11:03.341223+00:00,R5,w2_not_required_for_move_on,True,False,False
2026-06-06T07:11:03.341223+00:00,R5,r6_archived_diagnostic_only,True,True,True
2026-06-06T07:11:03.341223+00:00,R5,no_clustering_before_w3,True,True,True
2026-06-06T07:11:03.341223+00:00,R5,selected_worker_count_8,True,8,8
2026-06-06T07:11:03.341223+00:00,R5,frozen_bundle_exists,True,03_Control/05_Results/R5_dense/E03/manifests/frozen_w01_controller_bundle.json,exists
2026-06-06T07:11:03.341223+00:00,R5,table_manifest_exists,True,03_Control/05_Results/R5_dense/E03/manifests/table_manifest.json,exists
2026-06-06T07:11:03.359713+00:00,R5,no_generated_file_above_100mb,True,73.981,<=100.0
2026-06-06T08:17:36.611563+00:00,R7,w3_replay_complete,True,complete,complete
2026-06-06T08:17:36.611563+00:00,R7,w3_analysis_survivors_available,True,w3_survivors_available,w3_survivors_available
2026-06-06T08:17:36.611563+00:00,R7,method_evidence_level_w3_dense,True,w3_dense_survival_pass,w3_dense_survival_pass
2026-06-06T08:17:36.611563+00:00,R7,fixed_lqr_replay_only,True,True,True
2026-06-06T08:17:36.611563+00:00,R7,source_input_kind_r5,True,r5_frozen_bundle_direct,r5_frozen_bundle_direct
2026-06-06T08:17:36.611563+00:00,R7,no_w3_retuning,True,False,False
2026-06-06T08:17:36.611563+00:00,R7,not_fixture_evidence,True,False,False
2026-06-06T08:17:36.611563+00:00,R7,w3_survivor_count_positive,True,1605,>0
2026-06-06T08:17:36.611563+00:00,R7,w3_launch_gate_entry_survivor_count_positive,True,432,>0
2026-06-06T08:17:36.611563+00:00,R7,w3_all_active_families_have_launch_gate_entry_survivors,True,"[""energy_retaining_bank"", ""glide"", ""lift_dwell_arc"", ""lift_entry"", ""mild_turn_left"", ""mild_turn_right"", ""recovery"", ""safe_exit_or_recovery_handoff""]","[""glide"", ""recovery"", ""lift_entry"", ""lift_dwell_arc"", ""mild_turn_left"", ""mild_turn_right"", ""energy_retaining_bank"", ""safe_exit_or_recovery_handoff""]"
2026-06-06T08:17:36.652070+00:00,R7,no_generated_file_above_100mb,True,10.208,<=100.0
2026-06-06T08:36:42.468599+00:00,R8,post_w3_study_complete,True,complete,complete
2026-06-06T08:36:42.468599+00:00,R8,outcome_model_complete,True,complete,complete
2026-06-06T08:36:42.468599+00:00,R8,all_active_library_size_cases_present,True,"[""balanced_cluster"", ""heavy_cluster"", ""light_cluster"", ""no_cluster_no_merge"", ""super_light_cluster""]","[""balanced_cluster"", ""heavy_cluster"", ""light_cluster"", ""no_cluster_no_merge"", ""super_light_cluster""]"
2026-06-06T08:36:42.468599+00:00,R8,outcome_all_active_library_size_cases_present,True,"[""balanced_cluster"", ""heavy_cluster"", ""light_cluster"", ""no_cluster_no_merge"", ""super_light_cluster""]","[""heavy_cluster"", ""balanced_cluster"", ""light_cluster"", ""super_light_cluster"", ""no_cluster_no_merge""]"
2026-06-06T08:36:42.479600+00:00,R8,launch_gate_candidate_availability_audit,True,audit,passed
2026-06-06T08:36:42.481601+00:00,R8,no_generated_file_above_100mb,True,15.292,<=100.0
2026-06-06T08:36:42.483600+00:00,R8,no_generated_file_above_100mb,True,2.414,<=100.0
2026-06-06T13:55:13.236044+00:00,R10,stage_status_complete,True,complete,complete
2026-06-06T13:55:13.236044+00:00,R10,not_dry_run_or_reduced_diagnostic,True,changed_case_viability_governor_learning_rollout_validation_not_final_claim_gate,changed_case_viability_governor_learning_rollout_validation_not_final_claim_gate
2026-06-06T13:55:13.236044+00:00,R10,pass_gate_true,True,True,True
2026-06-06T13:55:13.236044+00:00,R10,r10_not_gated_by_r9_internal_preflight,True,True,R9 optional internal preflight only
2026-06-06T13:55:13.236044+00:00,R10,final_heldout_launch_count_exact,True,1000,1000
2026-06-06T13:55:13.236044+00:00,R10,history_launch_count_exact,True,10750,10750
2026-06-06T13:55:13.253571+00:00,R10,r10_no_model_latency_variation_audit,True,audit,passed
2026-06-06T13:55:13.254570+00:00,R10,r10_frozen_governor_config_for_r11_exists,True,03_Control/05_Results/R10_learn/E03/manifests/frozen_governor_config_for_r11.json,exists
2026-06-06T13:55:13.271098+00:00,R10,r10_frozen_governor_config_selected_for_r11,True,selected_for_r11,selected_for_r11
2026-06-06T13:55:13.333114+00:00,R10,first_decision_launch_gate_audits_present,True,audit,passed
2026-06-06T13:55:13.340121+00:00,R10,no_generated_file_above_100mb,True,61.413,<=100.0
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_final_heldout_launch_count,True,1000,1000
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_history_launch_count,True,10750,10750
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_library_size_case_count,True,5,5
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_policy_history_condition_count,True,4,4
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_pairing_audit,True,50,50
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_primitive_count_cap_disabled_for_full_validation,True,0,0_or_negative_disabled
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_max_episode_time_budget_positive,True,20.0,>=0.1
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_no_glider_latency_variation_audit,True,50,50
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_launch_inflight_recovery_sequence_policy,True,11750,11750
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_claim_bearing_final_launch_count_positive,True,812,>0_after_expected_low_energy_dry_air_sink_exclusion
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_expected_low_energy_dry_air_sink_labeled,True,188,diagnostic_not_claim_bearing_governor_failure
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_hard_failure_rate_within_stage_profile,True,0.20689655172413793,aggregate_diagnostic_only; blocking_R10_claim_gate_is_r10_any_deployable_cluster_claim_profile_within_stage_profile
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_floor_or_ceiling_violation_rate_within_stage_profile,True,0.15270935960591134,aggregate_diagnostic_only; blocking_R10_claim_gate_is_r10_any_deployable_cluster_claim_profile_within_stage_profile
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_no_viable_primitive_rate_within_stage_profile,True,0.08866995073891626,aggregate_diagnostic_only; blocking_R10_claim_gate_is_r10_any_deployable_cluster_claim_profile_within_stage_profile
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_safe_success_rate_within_stage_profile,True,0.7044334975369458,aggregate_diagnostic_only; blocking_R10_claim_gate_is_r10_any_deployable_cluster_claim_profile_within_stage_profile
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_terminal_or_lift_capture_within_stage_profile,True,0.7044334975369458,aggregate_diagnostic_only; blocking_R10_claim_gate_is_r10_any_deployable_cluster_claim_profile_within_stage_profile
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_front_wall_mission_success_rate_diagnostic,True,0.6551724137931034,diagnostic_only_score_target_not_current_pass_gate
2026-06-06T13:55:13.353127+00:00,R10,r10_validation_gate_wrong_wall_exit_rate_diagnostic,True,0.10344827586206896,diagnostic_only_penalised_by_launch_score
