policy_id,governor_mode,rejection_reason,governor_rejection_count
context_only_without_memory,continuation_mode,context_wall_margin_low,88
context_only_without_memory,continuation_mode,entry_role_incompatible_start_family,2615
context_only_without_memory,terminal_episode_mode,context_wall_margin_low,88
context_only_without_memory,terminal_episode_mode,entry_role_incompatible_start_family,550
context_plus_memory_lambda_0_5,continuation_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_5,continuation_mode,entry_role_incompatible_start_family,2615
context_plus_memory_lambda_0_5,terminal_episode_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_5,terminal_episode_mode,entry_role_incompatible_start_family,550
context_plus_memory_lambda_0_8,continuation_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_8,continuation_mode,entry_role_incompatible_start_family,2615
context_plus_memory_lambda_0_8,terminal_episode_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_8,terminal_episode_mode,entry_role_incompatible_start_family,550
context_plus_memory_lambda_0_95,continuation_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_95,continuation_mode,entry_role_incompatible_start_family,2615
context_plus_memory_lambda_0_95,terminal_episode_mode,context_wall_margin_low,88
context_plus_memory_lambda_0_95,terminal_episode_mode,entry_role_incompatible_start_family,550
no_memory_baseline,continuation_mode,context_wall_margin_low,88
no_memory_baseline,continuation_mode,entry_role_incompatible_start_family,2615
no_memory_baseline,terminal_episode_mode,context_wall_margin_low,88
no_memory_baseline,terminal_episode_mode,entry_role_incompatible_start_family,550
static_map_baseline,continuation_mode,context_wall_margin_low,88
static_map_baseline,continuation_mode,entry_role_incompatible_start_family,2615
static_map_baseline,terminal_episode_mode,context_wall_margin_low,88
static_map_baseline,terminal_episode_mode,entry_role_incompatible_start_family,550
