candidate_id,split,surface_axis,replay_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,all,174,0.2514345921,0.4848302572,0.2202974012,18.62355485,14.14598559,15.70785639,0.5482246838,frozen neutral replay
C0_frozen_neutral,all,aileron,59,0.3777756604,0.5492673767,0.3277644207,25.45684136,10.31288765,22.49422645,0.170756809,frozen neutral replay
C0_frozen_neutral,all,elevator,57,0.1757974962,0.405569816,0.179223145,15.29032825,25.40951725,10.91684148,1.030732967,frozen neutral replay
C0_frozen_neutral,all,rudder,58,0.1972482375,0.4971760348,0.1513435815,14.94821023,6.975838602,13.51289116,0.4431842749,frozen neutral replay
C0_frozen_neutral,train,all,144,0.248079564,0.4989793201,0.2247669297,18.56162919,13.84342474,14.97591312,0.5928805456,frozen neutral replay
C0_frozen_neutral,train,aileron,49,0.3751616005,0.583391333,0.3322993292,25.73508194,10.07727913,20.94314223,0.1964623558,frozen neutral replay
C0_frozen_neutral,train,elevator,47,0.1764964753,0.4130508496,0.1907336716,14.56514448,25.23530751,10.48136697,1.093837984,frozen neutral replay
C0_frozen_neutral,train,rudder,48,0.1884417595,0.4969470176,0.1483185037,15.15195413,6.533479827,13.2852765,0.4883412967,frozen neutral replay
C0_frozen_neutral,heldout,all,30,0.2675387269,0.4169147553,0.1988436646,18.920798,15.5982777,19.22118409,0.5166743763,frozen neutral replay
C0_frozen_neutral,heldout,aileron,10,0.3905845536,0.3820599909,0.3055433691,24.09346252,11.46736938,30.09453911,0.1848068848,frozen neutral replay
C0_frozen_neutral,heldout,elevator,10,0.1725122949,0.3704089581,0.1251236699,18.69869195,26.22830299,12.96357166,0.793614837,frozen neutral replay
C0_frozen_neutral,heldout,rudder,10,0.2395193321,0.498275317,0.1658639549,13.97023953,9.099160718,14.6054415,0.5716014072,frozen neutral replay
C1_primary_moment_derivatives,all,all,174,0.2573691983,0.4728253528,0.2115176202,17.76223078,12.43212241,12.75802275,0.2839926702,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,all,aileron,59,0.3764298926,0.5458803669,0.3319113355,23.07618194,9.629541515,19.83635294,0.2859409949,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,all,elevator,57,0.1654026846,0.4111593462,0.1469108698,13.86154493,20.73542407,9.339249411,0.3506615579,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,all,rudder,58,0.2266366176,0.4591135691,0.1525409922,16.19009241,7.122882371,8.917481347,0.2153754577,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,train,all,144,0.2556595916,0.4873975257,0.217355267,17.83870425,12.23861534,12.36570842,0.3362885958,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,train,aileron,49,0.375166395,0.5790463226,0.3370883847,23.26305046,9.119549422,18.32285183,0.3119728197,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,train,elevator,47,0.1708546464,0.4183835127,0.1594751846,13.75243517,21.04468342,9.691399769,0.4380408081,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,train,rudder,48,0.2167012386,0.4614155998,0.1518019567,16.30248931,6.800053472,8.90305175,0.2588521596,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,heldout,all,30,0.2655753104,0.4028789231,0.1834969157,17.39515811,13.36095634,14.64113151,0.2850220724,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,heldout,aileron,10,0.3826210308,0.3833671842,0.3065437944,22.16052622,12.12850277,27.25250838,0.2787030309,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,heldout,elevator,10,0.1397784638,0.3772057634,0.08785859034,14.37436082,19.28190516,7.684142728,0.2159291286,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C1_primary_moment_derivatives,heldout,rudder,10,0.2743264368,0.4480638218,0.1560883623,15.65058728,8.672461085,8.986743411,0.3604340579,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,all,all,174,0.2340307302,0.5251921038,0.2299574399,16.91578191,14.12252257,10.36444682,0.2440079754,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,all,aileron,59,0.3076011901,0.7003179038,0.3862931765,20.5798751,14.61478946,12.7773324,0.1659869107,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,all,elevator,57,0.1654026846,0.4111593462,0.1469108698,13.86154493,20.73542407,9.339249411,0.3506615579,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,all,rudder,58,0.2266366176,0.4591135691,0.1525409922,16.19009241,7.122882371,8.917481347,0.2153754577,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,train,all,144,0.2321318234,0.525731866,0.2371498667,17.00912735,14.06539639,10.23532699,0.3011949819,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,train,aileron,49,0.306023566,0.6917023432,0.3952602697,20.82511017,14.48804883,12.06213904,0.2066919781,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
C2_c1_plus_aileron_adverse_yaw,train,elevator,47,0.1708546464,0.4183835127,0.1594751846,13.75243517,21.04468342,9.691399769,0.4380408081,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
