candidate_id,split,surface_axis,alpha_regime,command_abs,replay_count,positive_count,negative_count,mean_actual_max_abs_alpha_deg,max_actual_max_abs_alpha_deg,mean_actual_alpha_gt_20_s,mean_actual_alpha_gt_30_s,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_metric,actual_antisymmetric_response,sim_antisymmetric_response,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,aileron,normal,0.2,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,normal,0.4,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,normal,0.6,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,normal,0.8,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,normal,1,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,transition,0.2,12,6,6,16.41240111,21.35463821,0.027502625,0,0.3508256224,0.4524457584,0.2482982823,13.81034945,6.825326167,6.9992465,peak_p_rad_s,-0.3594961665,-0.2462101975,0.113285969,frozen neutral replay
C0_frozen_neutral,all,aileron,transition,0.4,11,5,6,17.25372526,21.21750538,0.02069400909,0,0.3118361868,0.3455993928,0.3058144313,19.8455856,8.242871073,12.45865601,peak_p_rad_s,-0.7275144045,-0.6137136507,0.1138007538,frozen neutral replay
C0_frozen_neutral,all,aileron,transition,0.6,8,5,3,17.19549703,21.00595519,0.009712762499,0,0.4750028941,0.4611722111,0.4248722413,31.38127453,6.987393749,19.22332254,peak_p_rad_s,-0.2150103417,-1.031042926,0.8160325839,frozen neutral replay
C0_frozen_neutral,all,aileron,transition,0.8,7,5,2,18.58259515,20.75258911,0.01561595714,0,0.3541349285,0.3305805552,0.3772399357,35.07791003,8.940302224,26.24533035,peak_p_rad_s,-1.030683945,-1.052935885,0.02225194005,frozen neutral replay
C0_frozen_neutral,all,aileron,transition,1,7,3,4,16.48527209,20.66643393,0.02138438571,0,0.3954570716,0.3853746195,0.3621109844,36.19076956,16.5506617,41.03687691,peak_p_rad_s,-1.406100451,-1.262620144,0.143480307,frozen neutral replay
C0_frozen_neutral,all,aileron,post_stall,0.2,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,post_stall,0.4,1,1,0,26.27708717,26.27708717,0.269856,0,0.5237477399,1.061138554,0.2758267701,16.66766971,5.098193627,18.88720329,peak_p_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,aileron,post_stall,0.6,4,1,3,28.36812574,37.6464996,0.21913775,0.024618975,0.5125963731,1.413235794,0.3779219072,28.55389922,12.81512922,27.65923274,peak_p_rad_s,-1.420202648,-1.380124052,0.04007859621,frozen neutral replay
C0_frozen_neutral,all,aileron,post_stall,0.8,4,1,3,38.38392588,52.49679849,0.294534875,0.10441525,0.3001109054,1.087844336,0.3099742045,19.60015322,17.43170027,29.60834753,peak_p_rad_s,-0.5657340285,-1.301404495,0.7356704662,frozen neutral replay
C0_frozen_neutral,all,aileron,post_stall,1,5,3,2,28.89514854,32.66766067,0.16533426,0.01088304,0.365382886,0.6818619636,0.2785434206,31.74263455,15.09269326,46.68072614,peak_p_rad_s,-0.9383654717,-1.149746343,0.2113808717,frozen neutral replay
C0_frozen_neutral,all,elevator,normal,0.2,1,0,1,10.62755533,10.62755533,0,0,0.5460704547,0.3575017816,2.076201342,15.88366512,51.22139304,9.542249333,peak_q_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,elevator,normal,0.4,0,0,0,,,,,,,,,,,peak_q_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,elevator,normal,0.6,0,0,0,,,,,,,,,,,peak_q_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,elevator,normal,0.8,0,0,0,,,,,,,,,,,peak_q_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,elevator,normal,1,0,0,0,,,,,,,,,,,peak_q_rad_s,,,,frozen neutral replay
C0_frozen_neutral,all,elevator,transition,0.2,9,4,5,18.42374673,21.53444799,0.05189348889,0,0.1380127841,0.3917946155,0.1071762396,16.46400616,12.93662466,10.9988754,peak_q_rad_s,-0.005468062886,0.8964722316,0.9019402945,frozen neutral replay
