group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
all,all,all,all,174,139,35,0,0.8246298746,0.3490437321,mean_primary,0.2848939036,0.3066188376,0.2764687018,0.02172493402,-0.008425201778,0.2427547947,0.4871987658,0.2185921058
aileron,all,aileron,all,59,39,20,0,0.7859042592,0.3950302727,peak_p_rad_s,0.170756809,0.2536082227,0.1756967213,0.08285141368,0.004939912343,0.3777756604,0.5492673767,0.3277644207
aileron_0.2,all,aileron,0.2,12,10,2,0,0.8085943917,0.3703229708,peak_p_rad_s,0.113285969,0.02513418761,0.1107841708,-0.0881517814,-0.002501798164,0.3508256224,0.4524457584,0.2482982823
aileron_0.4,all,aileron,0.4,12,6,6,0,0.7713957391,0.4106369151,peak_p_rad_s,0.06487265505,0.1606279269,0.06608403004,0.09575527186,0.001211374992,0.3294954829,0.4052276562,0.3033154595
aileron_0.6,all,aileron,0.6,12,9,3,0,0.7978018504,0.3800051454,peak_p_rad_s,0.5979374745,0.7599978603,0.6156393565,0.1620603858,0.017701882,0.4875340538,0.7785267388,0.4092221299
aileron_0.8,all,aileron,0.8,11,7,4,0,0.7643025006,0.4214508365,peak_p_rad_s,0.02635632001,0.2550084727,0.03171915061,0.2286521527,0.005362830602,0.3344898292,0.6059492029,0.3527796698
aileron_1,all,aileron,1,12,7,5,0,0.7856266676,0.3949372094,peak_p_rad_s,0.05133162648,0.06727266594,0.05425689876,0.01594103946,0.002925272284,0.382926161,0.5089110129,0.3272911662
elevator,all,elevator,all,57,49,8,0,0.8437954099,0.3249926134,peak_q_rad_s,0.240740627,0.2369480768,0.2117075637,-0.00379255018,-0.02903306326,0.1493012726,0.4128,0.1740175063
elevator_0.2,all,elevator,0.2,12,11,1,0,0.8505546849,0.3203287291,peak_q_rad_s,0.4820102762,0.5701443034,0.4554038115,0.08813402718,-0.02660646462,0.1910056882,0.4117018065,0.2238543484
elevator_0.4,all,elevator,0.4,11,9,2,0,0.8317441568,0.3377752802,peak_q_rad_s,0.2645134847,0.2275899225,0.253926187,-0.03692356214,-0.01058729767,0.168505272,0.4664819495,0.1874596407
elevator_0.6,all,elevator,0.6,11,10,1,0,0.8611188903,0.2954188421,peak_q_rad_s,0.2162191814,0.1942509079,0.2167371283,-0.02196827345,0.000517946905,0.1523583737,0.3700167496,0.1030558335
elevator_0.8,all,elevator,0.8,11,9,2,0,0.8286984477,0.346911196,peak_q_rad_s,0.1247228662,0.08648899942,0.07667965714,-0.03823386676,-0.04804320904,0.1280301327,0.5142544811,0.177826937
elevator_1,all,elevator,1,12,10,2,0,0.8460421419,0.3249563092,peak_q_rad_s,0.1162373266,0.1062662509,0.05579103475,-0.00997107573,-0.06044629188,0.106689393,0.3109077783,0.1734149297
rudder,all,rudder,all,58,51,7,0,0.8451880781,0.3259007645,peak_r_rad_s,0.4431842749,0.4293002134,0.4420018205,-0.01388406144,-0.001182454419,0.1972482375,0.4971760348,0.1513435815
rudder_0.2,all,rudder,0.2,11,8,3,0,0.7982200048,0.3785289079,peak_r_rad_s,0.1303879728,0.04672618842,0.130494133,-0.08366178443,0.0001061601618,0.2673872036,0.257714012,0.2060280758
rudder_0.4,all,rudder,0.4,11,11,0,0,0.86353583,0.3107020325,peak_r_rad_s,0.2683935766,0.2683935766,0.2603434079,0,-0.008050168744,0.1552449677,0.5053269252,0.08877435875
rudder_0.6,all,rudder,0.6,12,11,1,0,0.8566965256,0.3130380542,peak_r_rad_s,0.5648514764,0.5547182621,0.5446653868,-0.01013321433,-0.02018608958,0.1847562935,0.5405261307,0.131701434
rudder_0.8,all,rudder,0.8,12,11,1,0,0.8621548766,0.3054313083,peak_r_rad_s,0.4565190396,0.500394042,0.4707543205,0.04387500232,0.0142352809,0.1166433416,0.5397720656,0.1071852741
rudder_1,all,rudder,1,12,10,2,0,0.8429481265,0.3249226372,peak_r_rad_s,0.7957693089,0.7762689981,0.803751854,-0.01950031076,0.007982545163,0.2645540226,0.6232651127,0.2223717041
all,train,all,all,144,117,27,0,0.8261758377,0.3473243128,mean_primary,0.3389070006,0.398683607,0.3329885793,0.05977660638,-0.005918421327,0.2415802397,0.5011177598,0.2239259879
aileron,train,aileron,all,49,31,18,0,0.7780958735,0.4035154171,peak_p_rad_s,0.1964623558,0.4198017001,0.2036399247,0.2233393442,0.007177568862,0.3751616005,0.583391333,0.3322993292
aileron_0.2,train,aileron,0.2,10,8,2,0,0.8083777181,0.3695045959,peak_p_rad_s,0.1027154499,0.01011690662,0.0924213208,-0.09259854329,-0.01029412911,0.3309050277,0.4923309844,0.2489208152
aileron_0.4,train,aileron,0.4,10,5,5,0,0.7637608137,0.4188250907,peak_p_rad_s,0.1126105638,0.3571784302,0.130878493,0.2445678665,0.01826792924,0.3202036663,0.3801385469,0.2694059761
